1;28;12/09/2002; 671.50;94;45;6
2;106;05/07/2011; 164.45;1;142;41
3;33;08/07/2017; 361.22;24;152;40
4;16;06/11/2016; 737.43;62;15;18
5;61;22/09/2004; 200.35;10;178;40
6;109;07/10/2001; 410.62;45;26;31
7;70;02/08/2006; 774.99;4;159;21
8;37;14/11/2000; 448.12;16;140;50
9;125;13/10/2013; 785.75;64;112;15
10;27;21/09/2015; 868.95;26;50;60
11;133;25/02/2002; 589.87;63;172;23
12;119;26/01/2010; 154.77;2;170;24
13;34;28/04/2017; 97.22;57;149;55
14;45;08/08/2011; 233.93;18;80;11
15;16;09/04/2001; 405.60;58;54;25
16;34;15/09/2008; 196.60;4;131;64
17;114;06/11/2014; 13.14;32;99;88
18;95;21/03/2002; 524.91;8;73;90
19;148;15/04/2011; 797.07;64;118;45
20;120;07/08/2001; 653.70;60;129;53
21;62;17/08/2007; 413.54;1;155;24
22;43;28/08/2003; 68.30;25;73;57
23;147;28/10/2006; 380.34;71;187;37
24;90;24/07/2011; 855.77;23;126;42
25;40;09/11/2006; 860.88;48;50;13
26;69;16/09/2010; 148.09;14;51;53
27;31;17/12/2012; 579.55;49;155;95
28;84;18/02/2010; 417.71;90;67;8
29;36;14/07/2005; 598.87;82;105;62
30;95;28/07/2014; 150.84;30;10;60
31;51;15/06/2008; 202.49;5;83;0
32;48;27/02/2005; 561.47;55;99;47
33;48;12/08/2003; 793.02;76;129;62
34;110;19/02/2017; 698.57;17;172;83
35;34;22/04/2004; 726.72;5;158;6
36;81;27/08/2016; 755.43;90;0;7
37;62;17/04/2002; 509.60;39;57;90
38;81;19/02/2001; 84.77;63;0;14
39;97;27/06/2008; 173.20;45;131;12
40;83;11/02/2000; 500.32;3;112;63
41;48;26/11/2003; 603.65;93;100;5
42;51;08/06/2015; 356.09;22;131;21
43;149;27/04/2011; 715.78;39;13;63
44;112;01/06/2008; 432.31;14;128;21
45;138;09/02/2016; 308.29;35;103;2
46;53;03/02/2010; 461.91;26;91;41
47;97;26/05/2006; 192.86;45;80;26
48;95;23/08/2011; 614.87;14;107;58
49;6;09/09/2011; 615.80;18;111;12
50;41;23/08/2014; 161.82;7;12;99
51;85;19/12/2007; 209.02;92;50;34
52;62;05/09/2005; 584.19;88;67;13
53;136;08/09/2004; 860.81;83;95;97
54;23;18/06/2016; 307.19;51;68;97
55;133;22/09/2005; 214.68;49;96;12
56;153;25/10/2002; 675.32;59;1;95
57;21;14/09/2017; 838.16;7;5;53
58;11;12/05/2016; 518.28;46;138;42
59;15;27/04/2005; 834.26;35;40;77
60;16;04/06/2017; 533.71;14;141;17
61;51;23/01/2009; 433.94;48;95;11
62;82;13/02/2002; 513.60;11;112;67
63;118;21/05/2001; 100.00;92;180;37
64;27;01/10/2010; 288.76;34;10;17
65;148;27/06/2017; 799.79;0;54;4
66;109;13/12/2002; 887.43;88;33;43
67;134;19/01/2016; 292.96;21;37;7
68;76;01/01/2004; 501.51;86;155;72
69;101;21/04/2015; 677.46;92;91;63
70;72;15/03/2013; 841.44;41;166;17
71;88;01/10/2016; 870.72;13;90;85
72;64;06/08/2004; 173.55;10;28;13
73;92;14/07/2006; 477.23;12;6;37
74;29;12/10/2008; 333.04;52;173;14
75;22;27/09/2009; 592.37;6;127;35
76;149;11/05/2011; 684.61;75;60;76
77;121;23/06/2016; 279.00;66;140;77
78;49;17/05/2002; 62.44;53;172;15
79;9;28/06/2013; 316.86;61;34;22
80;48;06/11/2017; 437.80;76;115;97
81;49;01/07/2015; 595.50;36;177;8
82;18;01/04/2007; 521.00;17;24;32
83;41;22/09/2008; 211.62;68;149;28
84;12;08/02/2017; 739.74;86;69;80
85;46;04/09/2005; 99.43;55;68;35
86;109;08/05/2017; 364.53;55;2;42
87;90;14/05/2007; 278.27;93;178;19
88;119;24/09/2000; 762.95;86;22;23
89;69;02/07/2005; 152.30;74;75;46
90;70;04/05/2017; 293.40;66;71;32
91;25;13/04/2005; 97.78;53;77;85
92;45;02/11/2012; 90.62;52;150;73
93;3;01/06/2010; 590.36;29;130;62
94;102;28/03/2008; 187.87;60;152;28
95;93;04/01/2015; 521.68;26;88;26
96;116;03/12/2012; 63.50;37;56;51
97;135;19/07/2012; 223.69;45;111;75
98;110;25/03/2001; 555.31;29;53;75
99;77;07/03/2009; 420.22;27;53;12
100;80;08/11/2008; 316.72;54;98;77
101;15;12/12/2017; 370.44;29;168;20
102;82;04/02/2017; 96.92;81;0;22
103;61;21/02/2000; 776.61;59;28;7
104;82;23/01/2014; 721.56;9;143;36
105;7;09/03/2006; 688.30;65;130;15
106;30;06/03/2010; 706.30;55;35;23
107;121;02/11/2003; 447.76;81;116;55
108;114;13/09/2002; 658.71;92;149;23
109;17;20/04/2007; 360.01;10;111;72
110;117;08/11/2014; 102.93;69;162;13
111;89;21/02/2012; 537.58;94;81;21
112;64;18/07/2004; 78.92;4;60;35
113;141;15/01/2007; 177.72;41;175;90
114;19;09/03/2000; 538.56;73;118;39
115;22;07/03/2015; 835.49;44;23;72
116;98;07/11/2015; 786.31;57;165;84
117;152;07/03/2014; 795.96;34;30;83
118;85;06/06/2013; 51.14;43;105;13
119;138;28/02/2005; 326.22;32;182;70
120;69;23/12/2002; 417.16;11;180;85
121;52;27/09/2012; 210.95;15;77;34
122;128;10/09/2007; 807.17;46;31;68
123;98;28/08/2000; 474.16;28;82;54
124;52;24/12/2003; 615.88;82;180;69
125;131;20/07/2006; 317.15;77;104;27
126;68;06/10/2010; 727.91;85;96;60
127;29;09/07/2016; 723.98;52;55;36
128;130;25/05/2017; 777.73;3;180;64
129;15;03/06/2015; 766.63;7;165;6
130;120;20/10/2000; 845.60;2;1;77
131;126;23/01/2000; 505.25;74;50;15
132;90;22/03/2012; 401.24;30;179;98
133;125;15/03/2001; 595.18;94;40;84
134;65;15/11/2013; 408.86;25;174;11
135;138;03/10/2015; 421.47;8;74;63
136;110;13/02/2012; 132.92;68;149;74
137;151;18/05/2017; 45.89;50;63;23
138;91;13/01/2006; 304.05;68;133;12
139;96;03/02/2016; 392.47;90;82;72
140;83;14/08/2017; 792.04;6;102;99
141;37;27/01/2003; 673.01;79;25;12
142;43;15/11/2008; 795.21;16;168;51
143;133;24/07/2001; 262.18;37;180;75
144;51;28/12/2009; 286.98;57;13;37
145;132;24/03/2000; 539.27;22;178;56
146;62;19/08/2012; 425.66;20;41;2
147;84;16/09/2015; 82.48;72;144;92
148;104;13/01/2003; 630.27;38;137;34
149;13;13/03/2009; 596.52;71;1;60
150;99;16/06/2002; 724.69;81;71;93
151;132;06/01/2010; 850.11;45;175;56
152;104;23/03/2017; 212.21;30;148;25
153;34;11/04/2001; 801.56;40;15;3
154;94;19/09/2002; 66.60;85;33;62
155;47;10/12/2008; 738.13;12;91;46
156;20;23/01/2010; 327.77;74;59;3
157;104;22/12/2010; 48.77;85;172;71
158;61;08/04/2002; 46.56;90;111;14
159;15;21/04/2004; 181.52;29;11;14
160;42;28/08/2012; 567.48;32;110;61
161;87;08/06/2004; 173.71;36;96;82
162;95;06/02/2017; 643.81;12;129;46
163;131;21/03/2006; 692.08;55;168;86
164;102;21/10/2004; 659.89;17;79;58
165;4;17/03/2001; 140.35;83;172;11
166;57;02/10/2000; 250.87;7;164;19
167;15;01/02/2007; 493.25;10;148;1
168;12;27/05/2012; 280.99;64;23;6
169;117;07/07/2008; 824.53;48;30;25
170;126;28/07/2004; 88.04;62;52;88
171;119;17/06/2013; 704.49;54;142;49
172;16;11/06/2006; 664.61;77;30;57
173;148;16/08/2007; 422.61;69;51;57
174;150;04/03/2001; 174.22;56;24;65
175;134;19/12/2016; 443.73;70;63;75
176;14;12/12/2015; 138.93;15;2;61
177;107;24/07/2001; 29.97;31;145;12
178;15;09/07/2008; 763.99;21;90;18
179;23;05/08/2007; 622.89;44;104;42
180;45;15/11/2007; 674.34;1;6;39
181;72;22/07/2007; 64.51;25;54;55
182;121;25/11/2017; 344.35;79;22;30
183;31;11/10/2013; 768.62;25;2;75
184;133;25/08/2010; 419.09;51;4;33
185;71;22/05/2007; 509.57;42;76;27
186;92;01/12/2010; 273.55;60;90;22
187;87;26/05/2008; 557.53;57;19;41
188;93;02/04/2006; 252.26;1;121;29
189;38;08/03/2007; 161.48;39;6;77
190;17;28/11/2017; 431.29;79;52;26
191;94;24/03/2010; 116.19;73;166;89
192;9;11/12/2002; 610.18;64;15;10
193;148;07/10/2011; 652.76;54;175;48
194;139;26/12/2008; 459.34;30;48;26
195;132;03/06/2001; 791.15;55;155;60
196;35;27/07/2013; 857.57;53;78;51
197;5;21/10/2002; 76.75;80;34;70
198;126;14/10/2006; 412.14;94;34;51
199;74;27/07/2011; 668.14;53;9;56
200;99;05/10/2004; 177.59;64;8;14
201;145;07/10/2001; 133.65;50;43;24
202;129;06/08/2006; 84.63;42;64;44
203;85;23/02/2008; 735.96;56;77;61
204;83;01/01/2000; 328.64;53;34;64
205;55;26/11/2016; 733.53;33;6;53
206;57;07/02/2004; 810.37;67;49;8
207;3;12/12/2008; 878.42;51;39;50
208;106;01/07/2001; 329.66;11;107;7
209;152;06/10/2014; 440.41;87;78;83
210;104;10/06/2009; 238.75;49;104;62
211;115;01/03/2016; 890.70;43;167;9
212;101;27/08/2002; 894.52;77;175;97
213;72;06/04/2005; 456.20;78;64;23
214;8;13/01/2001; 508.96;8;32;53
215;152;28/12/2007; 504.09;55;34;80
216;63;09/10/2003; 583.00;79;2;38
217;76;02/02/2006; 412.62;8;133;39
218;152;09/12/2007; 238.77;38;114;83
219;0;26/09/2012; 381.33;87;164;33
220;33;21/02/2014; 279.73;91;1;37
221;50;02/02/2017; 645.80;25;158;1
222;53;09/10/2001; 331.17;24;113;9
223;60;13/12/2013; 92.87;45;128;57
224;67;13/03/2006; 754.58;40;90;54
225;134;28/11/2003; 249.19;17;44;18
226;5;21/05/2001; 117.57;28;67;68
227;138;19/06/2002; 229.26;92;15;33
228;33;12/12/2017; 799.29;12;143;76
229;64;07/11/2009; 536.77;10;76;48
230;98;03/11/2007; 850.77;1;44;53
231;151;13/04/2012; 504.08;92;1;85
232;54;15/06/2016; 227.86;40;148;38
233;67;02/12/2001; 97.47;74;109;78
234;37;25/03/2003; 2.52;75;96;0
235;128;22/08/2012; 170.52;86;185;14
236;72;27/03/2009; 318.83;66;66;31
237;145;14/12/2013; 534.64;53;184;79
238;152;21/09/2003; 785.99;83;138;67
239;24;08/03/2009; 279.51;66;167;4
240;12;02/11/2002; 155.30;80;92;66
241;3;18/09/2011; 114.08;51;30;30
242;48;05/09/2014; 653.10;43;80;8
243;37;22/05/2005; 827.95;27;85;53
244;127;05/12/2010; 159.47;48;162;18
245;92;18/09/2014; 72.37;57;58;77
246;15;15/01/2013; 99.72;95;55;73
247;10;19/12/2008; 355.71;92;12;86
248;97;18/04/2007; 146.81;85;21;54
249;31;26/08/2009; 286.47;23;138;7
250;135;20/10/2010; 334.41;55;11;51
251;42;22/02/2015; 887.82;58;117;27
252;148;10/09/2000; 160.60;27;90;57
253;118;06/01/2001; 410.33;93;112;56
254;87;26/03/2010; 566.03;25;53;5
255;107;27/07/2000; 652.94;61;4;9
256;1;09/08/2007; 784.39;27;159;37
257;127;25/03/2000; 94.56;75;44;45
258;71;05/02/2005; 624.54;75;13;86
259;37;27/06/2000; 511.49;59;143;5
260;152;28/03/2002; 613.37;26;131;57
261;46;01/02/2011; 548.70;51;61;22
262;49;09/09/2003; 603.13;86;106;39
263;86;13/11/2013; 806.32;19;185;80
264;84;12/11/2014; 849.43;61;67;99
265;113;20/12/2016; 348.30;45;141;17
266;78;25/10/2007; 851.14;70;49;20
267;22;05/11/2007; 778.65;3;31;47
268;73;01/08/2004; 154.95;55;77;76
269;99;25/01/2016; 166.90;87;95;36
270;63;26/04/2002; 830.91;46;133;31
271;134;19/11/2002; 287.49;7;128;24
272;11;03/07/2003; 743.09;2;182;99
273;24;14/09/2005; 117.06;7;93;15
274;110;27/04/2002; 449.35;72;9;82
275;85;22/11/2001; 436.28;79;109;78
276;31;28/11/2005; 511.31;76;89;36
277;147;06/07/2004; 805.63;15;6;3
278;75;17/02/2004; 481.81;26;105;90
279;81;06/02/2007; 46.12;59;103;63
280;53;13/06/2011; 320.28;41;10;13
281;114;18/05/2012; 214.14;75;110;95
